"","id","father_name","mother_name","gender","offspring","population","is_alive","is_married","id_partners_father","is_pregnant","kids_count"
"1",1,"a","n","M",136,16144,1,1,"14",0,5
"2",2,"b","o","M",151,16129,1,1,"15",0,3
"3",3,"c","p","M",156,16124,1,1,"16",0,3
"4",4,"d","q","M",127,16153,1,1,"17",0,4
"5",5,"e","r","M",195,16085,1,1,"18",0,3
"6",6,"f","s","M",147,16133,1,1,"19",0,5
"7",7,"g","t","M",120,16160,1,1,"20",0,5
"8",8,"h","u","M",134,16146,1,1,"21",0,3
"9",9,"i","v","M",120,16160,1,1,"22",0,5
"10",10,"j","w","M",121,16159,1,1,"23",0,3
"11",11,"k","x","M",132,16148,1,1,"24",0,4
"12",12,"l","y","M",171,16109,1,1,"25",0,5
"13",13,"m","z","M",117,16163,1,1,"26",0,4
"14",14,"n","a","F",132,16148,1,1,"1",0,3
"15",15,"o","b","F",141,16139,1,1,"2",0,4
"16",16,"p","c","F",180,16100,1,1,"3",0,3
"17",17,"q","d","F",138,16142,1,1,"4",0,5
"18",18,"r","e","F",148,16132,1,1,"5",0,4
"19",19,"s","f","F",154,16126,1,1,"6",0,5
"20",20,"t","g","F",128,16152,1,1,"7",0,5
"21",21,"u","h","F",133,16147,1,1,"8",0,4
"22",22,"v","i","F",103,16177,1,1,"9",0,3
"23",23,"w","j","F",186,16094,1,1,"10",0,3
"24",24,"x","k","F",123,16157,1,1,"11",0,4
"25",25,"y","l","F",173,16107,1,1,"12",0,3
"26",26,"z","m","F",132,16148,1,1,"13",0,3
"27",27,"A","N","M",120,16160,1,1,"40",0,3
"28",28,"B","O","M",128,16152,1,1,"41",0,3
"29",29,"C","P","M",175,16105,1,1,"42",0,3
"30",30,"D","Q","M",175,16105,1,1,"43",0,4
"31",31,"E","R","M",142,16138,1,1,"44",0,4
"32",32,"F","S","M",130,16150,1,1,"45",0,5
"33",33,"G","T","M",125,16155,1,1,"46",0,3
"34",34,"H","U","M",169,16111,1,1,"47",0,3
"35",35,"I","V","M",153,16127,1,1,"48",0,3
"36",36,"J","W","M",119,16161,1,1,"49",0,4
"37",37,"K","X","M",114,16166,1,1,"50",0,5
"38",38,"L","Y","M",126,16154,1,1,"51",0,5
"39",39,"M","Z","M",128,16152,1,1,"52",0,3
"40",40,"N","A","F",107,16173,1,1,"27",0,4
"41",41,"O","B","F",159,16121,1,1,"28",0,5
"42",42,"P","C","F",166,16114,1,1,"29",0,5
"43",43,"Q","D","F",187,16093,1,1,"30",0,4
"44",44,"R","E","F",193,16087,1,1,"31",0,3
"45",45,"S","F","F",163,16117,1,1,"32",0,4
"46",46,"T","G","F",176,16104,1,1,"33",0,3
"47",47,"U","H","F",125,16155,1,1,"34",0,3
"48",48,"V","I","F",107,16173,1,1,"35",0,5
"49",49,"W","J","F",142,16138,1,1,"36",0,5
"50",50,"X","K","F",180,16100,1,1,"37",0,3
"51",51,"Y","L","F",138,16142,1,1,"38",0,5
"52",52,"Z","M","F",142,16138,1,1,"39",0,5
"53",53,"n","a","M",6917,9363,1,1,"57",0,4
"54",54,"n","a","M",7876,8404,1,1,"58",0,3
"55",55,"n","a","M",8284,7996,1,1,"62",0,3
"56",56,"o","b","M",6316,9964,1,1,"64",0,4
"57",57,"o","b","F",7169,9111,1,1,"53",0,4
"58",58,"o","b","F",7825,8455,1,1,"54",0,3
"59",59,"o","b","M",8289,7991,1,1,"69",0,3
"60",60,"p","c","M",6169,10111,1,1,"68",0,5
"61",61,"p","c","M",7160,9120,1,1,"73",0,2
"62",62,"p","c","F",8218,8062,1,1,"55",0,3
"63",63,"q","d","M",6656,9624,1,1,"78",0,4
"64",64,"q","d","F",7281,8999,1,1,"56",0,4
"65",65,"q","d","M",7863,8417,1,1,"71",0,2
"66",66,"q","d","M",8893,7387,1,1,"84",0,3
"67",67,"q","d","M",9347,6933,1,1,"88",0,4
"68",68,"r","e","F",6533,9747,1,1,"60",0,5
"69",69,"r","e","F",6997,9283,1,1,"59",0,3
"70",70,"r","e","M",7976,8304,1,1,"82",0,4
"71",71,"r","e","F",8767,7513,1,1,"65",0,2
"72",72,"s","f","M",7648,8632,1,1,"83",0,5
"73",73,"s","f","F",8165,8115,1,1,"61",0,2
"74",74,"s","f","M",9065,7215,1,1,"97",0,3
"75",75,"s","f","M",10006,6274,1,1,"98",0,3
"76",76,"s","f","M",10707,5573,1,0,"NULL",0,0
"77",77,"t","g","M",7354,8926,1,1,"87",0,5
"78",78,"t","g","F",7924,8356,1,1,"63",0,4
"79",79,"t","g","M",8664,7616,1,1,"101",0,3
"80",80,"t","g","M",9330,6950,1,1,"103",0,2
"81",81,"t","g","M",10449,5831,1,0,"NULL",0,0
"82",82,"u","h","F",6643,9637,1,1,"70",0,4
"83",83,"u","h","F",7103,9177,1,1,"72",0,5
"84",84,"u","h","F",7654,8626,1,1,"66",0,3
"85",85,"u","h","M",8359,7921,1,1,"100",0,3
"86",86,"v","i","M",6344,9936,1,1,"102",0,4
"87",87,"v","i","F",7242,9038,1,1,"77",0,5
"88",88,"v","i","F",7909,8371,1,1,"67",0,4
"89",89,"w","j","M",6382,9898,1,1,"106",0,5
"90",90,"w","j","M",7204,9076,1,1,"112",0,3
"91",91,"w","j","M",8162,8118,1,1,"113",0,2
"92",92,"x","k","M",7598,8682,1,1,"114",0,3
"93",93,"x","k","M",8109,8171,1,1,"117",0,2
"94",94,"x","k","M",8847,7433,1,1,"119",0,0
"95",95,"x","k","M",9818,6462,1,1,"105",0,0
"96",96,"y","l","M",7401,8879,1,1,"120",0,4
"97",97,"y","l","F",7883,8397,1,1,"74",0,3
"98",98,"y","l","F",8687,7593,1,1,"75",0,3
"99",99,"z","m","M",6596,9684,1,1,"121",0,4
"100",100,"z","m","F",7005,9275,1,1,"85",0,3
"101",101,"z","m","F",7777,8503,1,1,"79",0,3
"102",102,"N","A","F",7759,8521,1,1,"86",0,4
"103",103,"N","A","F",8870,7410,1,1,"80",0,2
"104",104,"N","A","M",9274,7006,1,1,"125",0,4
"105",105,"N","A","F",10334,5946,1,1,"95",0,0
"106",106,"O","B","F",6979,9301,1,1,"89",0,5
"107",107,"O","B","M",7847,8433,1,1,"122",0,4
"108",108,"O","B","M",8731,7549,1,1,"128",0,3
"109",109,"O","B","M",9597,6683,1,1,"141",0,0
"110",110,"O","B","M",10722,5558,1,0,"NULL",0,0
"111",111,"P","C","M",6245,10035,1,1,"123",0,5
"112",112,"P","C","F",7027,9253,1,1,"90",0,3
"113",113,"P","C","F",8134,8146,1,1,"91",0,2
"114",114,"P","C","F",8975,7305,1,1,"92",0,3
"115",115,"P","C","M",9935,6345,1,1,"148",0,2
"116",116,"Q","D","M",7477,8803,1,1,"127",0,4
"117",117,"Q","D","F",8606,7674,1,1,"93",0,2
"118",118,"Q","D","M",9280,7000,1,1,"129",0,3
"119",119,"Q","D","F",9992,6288,1,1,"94",0,0
"120",120,"R","E","F",6583,9697,1,1,"96",0,4
"121",121,"R","E","F",7339,8941,1,1,"99",0,4
"122",122,"R","E","F",7776,8504,1,1,"107",0,4
"123",123,"S","F","F",6990,9290,1,1,"111",0,5
"124",124,"S","F","M",7536,8744,1,1,"131",0,4
"125",125,"S","F","F",8247,8033,1,1,"104",0,4
"126",126,"S","F","M",9070,7210,1,1,"132",0,3
"127",127,"T","G","F",6989,9291,1,1,"116",0,4
"128",128,"T","G","F",7654,8626,1,1,"108",0,3
"129",129,"T","G","F",8107,8173,1,1,"118",0,3
"130",130,"U","H","M",6152,10128,1,1,"133",0,5
"131",131,"U","H","F",6889,9391,1,1,"124",0,4
"132",132,"U","H","F",7852,8428,1,1,"126",0,3
"133",133,"V","I","F",6072,10208,1,1,"130",0,5
"134",134,"V","I","F",6592,9688,1,1,"136",0,5
"135",135,"V","I","F",7256,9024,1,1,"139",0,5
"136",136,"V","I","M",7898,8382,1,1,"134",0,5
"137",137,"V","I","M",8942,7338,1,1,"144",0,3
"138",138,"W","J","F",7160,9120,1,1,"143",0,5
"139",139,"W","J","M",8234,8046,1,1,"135",0,5
"140",140,"W","J","M",9289,6991,1,1,"153",0,2
"141",141,"W","J","F",9781,6499,1,1,"109",0,0
"142",142,"W","J","M",10473,5807,1,0,"NULL",0,0
"143",143,"X","K","M",7406,8874,1,1,"138",0,5
"144",144,"X","K","F",8049,8231,1,1,"137",0,3
"145",145,"X","K","M",8633,7647,1,1,"146",0,4
"146",146,"Y","L","F",7583,8697,1,1,"145",0,4
"147",147,"Y","L","M",8584,7696,1,1,"152",0,4
"148",148,"Y","L","F",9237,7043,1,1,"115",0,2
"149",149,"Y","L","M",10111,6169,1,0,"NULL",0,0
"150",150,"Y","L","M",10527,5753,1,0,"NULL",0,0
"151",151,"Z","M","F",6971,9309,1,0,"NULL",0,0
"152",152,"Z","M","F",7686,8594,1,1,"147",0,4
"153",153,"Z","M","F",8546,7734,1,1,"140",0,2
"154",154,"Z","M","M",9324,6956,1,0,"NULL",0,0
"155",155,"Z","M","M",10298,5982,1,0,"NULL",0,0
"156",156,"o","n","F",13199,3081,1,0,"NULL",0,0
"157",157,"o","n","M",14031,2249,1,0,"NULL",0,0
"158",158,"o","n","F",14812,1468,1,0,"NULL",0,0
"159",159,"o","n","M",15486,794,1,0,"NULL",0,0
"160",160,"o","n","M",14283,1997,1,0,"NULL",0,0
"161",161,"o","n","F",15270,1010,1,0,"NULL",0,0
"162",162,"o","n","F",15938,342,1,0,"NULL",0,0
"163",163,"p","n","M",15040,1240,1,0,"NULL",0,0
"164",164,"p","n","F",15670,610,1,0,"NULL",0,0
"165",165,"p","n","F",16125,155,1,0,"NULL",0,0
"166",166,"q","o","F",13302,2978,1,0,"NULL",0,0
"167",167,"q","o","F",14008,2272,1,0,"NULL",0,0
"168",168,"q","o","F",14627,1653,1,0,"NULL",0,0
"169",169,"q","o","F",15660,620,1,0,"NULL",0,0
"170",170,"r","p","M",13226,3054,1,0,"NULL",0,0
"171",171,"r","p","F",14082,2198,1,0,"NULL",0,0
"172",172,"r","p","F",15015,1265,1,0,"NULL",0,0
"173",173,"r","p","F",15555,725,1,0,"NULL",0,0
"174",174,"r","p","M",15999,281,1,0,"NULL",0,0
"175",175,"r","o","M",13425,2855,1,0,"NULL",0,0
"176",176,"r","o","F",14496,1784,1,0,"NULL",0,0
"177",177,"r","o","M",15601,679,1,0,"NULL",0,0
"178",178,"r","q","M",15310,970,1,0,"NULL",0,0
"179",179,"r","q","M",16035,245,1,0,"NULL",0,0
"180",180,"s","p","M",14855,1425,1,0,"NULL",0,0
"181",181,"s","p","F",15859,421,1,0,"NULL",0,0
"182",182,"t","q","F",13805,2475,1,0,"NULL",0,0
"183",183,"t","q","M",14255,2025,1,0,"NULL",0,0
"184",184,"t","q","M",15306,974,1,0,"NULL",0,0
"185",185,"t","q","F",16191,89,1,0,"NULL",0,0
"186",186,"u","r","F",13542,2738,1,0,"NULL",0,0
"187",187,"u","r","M",14397,1883,1,0,"NULL",0,0
"188",188,"u","r","M",15298,982,1,0,"NULL",0,0
"189",189,"u","r","F",16023,257,1,0,"NULL",0,0
"190",190,"u","s","F",13818,2462,1,0,"NULL",0,0
"191",191,"u","s","M",14336,1944,1,0,"NULL",0,0
"192",192,"u","s","M",14802,1478,1,0,"NULL",0,0
"193",193,"u","s","M",15353,927,1,0,"NULL",0,0
"194",194,"u","s","M",16014,266,1,0,"NULL",0,0
"195",195,"u","q","M",13558,2722,1,0,"NULL",0,0
"196",196,"u","q","F",14633,1647,1,0,"NULL",0,0
"197",197,"u","q","F",15674,606,1,0,"NULL",0,0
"198",198,"v","t","F",13520,2760,1,0,"NULL",0,0
"199",199,"v","t","F",13977,2303,1,0,"NULL",0,0
"200",200,"v","t","F",14568,1712,1,0,"NULL",0,0
"201",201,"v","t","M",15151,1129,1,0,"NULL",0,0
"202",202,"v","t","F",16038,242,1,0,"NULL",0,0
"203",203,"v","q","F",14369,1911,1,0,"NULL",0,0
"204",204,"v","q","M",14912,1368,1,0,"NULL",0,0
"205",205,"v","q","M",15621,659,1,0,"NULL",0,0
"206",206,"v","q","F",16110,170,1,0,"NULL",0,0
"207",207,"y","s","F",14222,2058,1,0,"NULL",0,0
"208",208,"y","s","F",14719,1561,1,0,"NULL",0,0
"209",209,"y","s","F",15592,688,1,0,"NULL",0,0
"210",210,"y","s","F",14725,1555,1,0,"NULL",0,0
"211",211,"y","s","F",15530,750,1,0,"NULL",0,0
"212",212,"y","s","F",15995,285,1,0,"NULL",0,0
"213",213,"z","u","F",13366,2914,1,0,"NULL",0,0
"214",214,"z","u","M",14282,1998,1,0,"NULL",0,0
"215",215,"z","u","F",15368,912,1,0,"NULL",0,0
"216",216,"z","t","M",14044,2236,1,0,"NULL",0,0
"217",217,"z","t","F",14904,1376,1,0,"NULL",0,0
"218",218,"z","t","F",15953,327,1,0,"NULL",0,0
"219",219,"N","v","M",14040,2240,1,0,"NULL",0,0
"220",220,"N","v","F",14590,1690,1,0,"NULL",0,0
"221",221,"N","v","F",15123,1157,1,0,"NULL",0,0
"222",222,"N","v","M",16146,134,1,0,"NULL",0,0
"223",223,"N","t","M",15305,975,1,0,"NULL",0,0
"224",224,"N","t","F",15913,367,1,0,"NULL",0,0
"225",225,"O","w","M",12953,3327,1,0,"NULL",0,0
"226",226,"O","w","F",13400,2880,1,0,"NULL",0,0
"227",227,"O","w","F",14087,2193,1,0,"NULL",0,0
"228",228,"O","w","F",14898,1382,1,0,"NULL",0,0
"229",229,"O","w","M",15906,374,1,0,"NULL",0,0
"230",230,"P","w","M",13702,2578,1,0,"NULL",0,0
"231",231,"P","w","F",14572,1708,1,0,"NULL",0,0
"232",232,"P","w","F",15693,587,1,0,"NULL",0,0
"233",233,"P","w","F",14614,1666,1,0,"NULL",0,0
"234",234,"P","w","M",15415,865,1,0,"NULL",0,0
"235",235,"P","x","M",14882,1398,1,0,"NULL",0,0
"236",236,"P","x","M",15603,677,1,0,"NULL",0,0
"237",237,"P","x","F",16079,201,1,0,"NULL",0,0
"238",238,"Q","x","F",14568,1712,1,0,"NULL",0,0
"239",239,"Q","x","M",15539,741,1,0,"NULL",0,0
"240",240,"R","y","M",13403,2877,1,0,"NULL",0,0
"241",241,"R","y","M",13967,2313,1,0,"NULL",0,0
"242",242,"R","y","M",14616,1664,1,0,"NULL",0,0
"243",243,"R","y","M",15427,853,1,0,"NULL",0,0
"244",244,"R","z","M",13688,2592,1,0,"NULL",0,0
"245",245,"R","z","M",14699,1581,1,0,"NULL",0,0
"246",246,"R","z","M",15269,1011,1,0,"NULL",0,0
"247",247,"R","z","M",15742,538,1,0,"NULL",0,0
"248",248,"R","O","F",14153,2127,1,0,"NULL",0,0
"249",249,"R","O","M",15029,1251,1,0,"NULL",0,0
"250",250,"R","O","F",15540,740,1,0,"NULL",0,0
"251",251,"R","O","F",16126,154,1,0,"NULL",0,0
"252",252,"S","P","M",12922,3358,1,0,"NULL",0,0
"253",253,"S","P","M",13549,2731,1,0,"NULL",0,0
"254",254,"S","P","M",14372,1908,1,0,"NULL",0,0
"255",255,"S","P","F",14881,1399,1,0,"NULL",0,0
"256",256,"S","P","M",15968,312,1,0,"NULL",0,0
"257",257,"S","N","F",14653,1627,1,0,"NULL",0,0
"258",258,"S","N","M",15080,1200,1,0,"NULL",0,0
"259",259,"S","N","M",15606,674,1,0,"NULL",0,0
"260",260,"S","N","M",16136,144,1,0,"NULL",0,0
"261",261,"T","Q","M",13432,2848,1,0,"NULL",0,0
"262",262,"T","Q","F",14150,2130,1,0,"NULL",0,0
"263",263,"T","Q","F",14578,1702,1,0,"NULL",0,0
"264",264,"T","Q","F",15221,1059,1,0,"NULL",0,0
"265",265,"T","O","M",14090,2190,1,0,"NULL",0,0
"266",266,"T","O","M",14754,1526,1,0,"NULL",0,0
"267",267,"T","O","M",15573,707,1,0,"NULL",0,0
"268",268,"T","Q","F",14070,2210,1,0,"NULL",0,0
"269",269,"T","Q","F",14633,1647,1,0,"NULL",0,0
"270",270,"T","Q","M",15553,727,1,0,"NULL",0,0
"271",271,"U","S","F",13628,2652,1,0,"NULL",0,0
"272",272,"U","S","F",14558,1722,1,0,"NULL",0,0
"273",273,"U","S","M",15309,971,1,0,"NULL",0,0
"274",274,"U","S","M",15821,459,1,0,"NULL",0,0
"275",275,"U","S","M",14677,1603,1,0,"NULL",0,0
"276",276,"U","S","M",15741,539,1,0,"NULL",0,0
"277",277,"U","S","F",16154,126,1,0,"NULL",0,0
"278",278,"V","U","M",12766,3514,1,0,"NULL",0,0
"279",279,"V","U","F",13254,3026,1,0,"NULL",0,0
"280",280,"V","U","M",14349,1931,1,0,"NULL",0,0
"281",281,"V","U","F",14974,1306,1,0,"NULL",0,0
"282",282,"V","U","F",15761,519,1,0,"NULL",0,0
"283",283,"V","V","M",13151,3129,1,0,"NULL",0,0
"284",284,"V","V","F",13758,2522,1,0,"NULL",0,0
"285",285,"V","V","M",14400,1880,1,0,"NULL",0,0
"286",286,"V","V","M",15101,1179,1,0,"NULL",0,0
"287",287,"V","V","M",15951,329,1,0,"NULL",0,0
"288",288,"V","W","F",13896,2384,1,0,"NULL",0,0
"289",289,"V","W","F",14426,1854,1,0,"NULL",0,0
"290",290,"V","W","M",14983,1297,1,0,"NULL",0,0
"291",291,"V","W","F",15473,807,1,0,"NULL",0,0
"292",292,"V","W","M",16083,197,1,0,"NULL",0,0
"293",293,"W","X","F",13034,3246,1,0,"NULL",0,0
"294",294,"W","X","M",13992,2288,1,0,"NULL",0,0
"295",295,"W","X","M",14637,1643,1,0,"NULL",0,0
"296",296,"W","X","F",15465,815,1,0,"NULL",0,0
"297",297,"W","X","M",16046,234,1,0,"NULL",0,0
"298",298,"X","V","F",14397,1883,1,0,"NULL",0,0
"299",299,"X","V","M",15400,880,1,0,"NULL",0,0
"300",300,"X","V","M",16013,267,1,0,"NULL",0,0
"301",301,"Y","X","M",13797,2483,1,0,"NULL",0,0
"302",302,"Y","X","F",14598,1682,1,0,"NULL",0,0
"303",303,"Y","X","F",15142,1138,1,0,"NULL",0,0
"304",304,"Y","X","M",15609,671,1,0,"NULL",0,0
"305",305,"Y","P","M",15091,1189,1,0,"NULL",0,0
"306",306,"Y","P","F",16214,66,1,0,"NULL",0,0
"307",307,"Z","Y","F",14095,2185,1,0,"NULL",0,0
"308",308,"Z","Y","F",14801,1479,1,0,"NULL",0,0
"309",309,"Z","Y","M",15277,1003,1,0,"NULL",0,0
"310",310,"Z","Y","M",16138,142,1,0,"NULL",0,0
"311",311,"Z","W","M",15175,1105,1,0,"NULL",0,0
"312",312,"Z","W","F",15952,328,1,0,"NULL",0,0
